id,area,invocation,user_story,expected_behaviour,phase1_status,phase1_notes,phase2_result,phase2_notes,phase3_fix,phase4_result
EX-17,example,cargo run -p reading-section-eval --example section_pack_report,"As a developer, I want the section-aware reader checked for no-regression plus heading/multi-term wins so I confirm section ranking only reorders safely.","Runs evaluate_section_pack()+section_priority_demo(), prints answered/coverage/regression/false-grounded counts + demo; exits FAILURE on any false-grounded/regression/missing win.",Inventoried,,PASS,rc=0; section pack over 15 READ-4 fixtures (bounds: max_steps=64 max_spans=8 max_finalize_attempts=1),none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-01,python-script,library-only (imported by bridge_world_demo and others),"As an operator, I want attention scoring/mode/backpressure helpers so the cognitive loop prioritises and coalesces packets deterministically.","Pure helpers: admission_score, score_packet, choose_mode, memory_backpressure, coalesce_anomalies. No I/O, no main.",Inventoried,Library-only by design.,PASS,rc=0; import-ok attention_manager,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-02,python-script,"python3 scripts/attention_review_audit.py --scenario NAME (reflex_mode_correctly_triggered, reflex_mode_false_alarm, interrupt_storm_recovery_replay)","As an operator, I want to replay an attention-mode review trace so I audit that attention correction never became authority correction.","Loads scenario, prints JSON audit (classification, review_status, *_authority_changed=False, raw-packet preservation); usage on missing flag.",Inventoried,Bad --scenario name raises raw FileNotFoundError traceback.,PASS,rc=0; { || PROBE-attn-bad: rc=1 Traceback (most recent call last):,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-03,python-script,python3 scripts/author_governed_signers.py (no args; one-time authoring tool),"As an operator, I want to regenerate the v0.2 governed signer registry + Sprint-31 scenarios so signer lifecycle/scope governance is provable.","Generates fresh Ed25519 keys (private discarded), writes authorized_design_signers.json v0.2 + 6 governance scenario JSONs; prints paths; preserves committed design_authority key.",Inventoried,Destructive/non-idempotent: overwrites committed registry+scenarios; no --help/guard; not in release_check.,NOT-RUN,rc=NA; destructive authoring tool — intentionally not run (regenerates keys/overwrites committed files),none required (passed clean in Phase 2),"NOT-RUN (by design: destructive one-time authoring tool, excluded from gates)"
PY-04,python-script,python3 scripts/author_mechanism_scenarios.py (no args; one-time authoring tool),"As an operator, I want to author 5 mechanism-source scenarios + a governed mechanism signer so gate-code weakenings are caught by content-hash + probe.","Reads verifier_engine.py as post-image, builds preserving/weakening change_sets bound by content hash, writes 5 scenario JSONs + adds mechanism_authority key; SystemExit if protected branch text missing.",Inventoried,Non-idempotent: regenerates keys/scenarios; must be followed by mechanism_provenance.py --build; no --help/guard.,NOT-RUN,rc=NA; destructive authoring tool — intentionally not run (regenerates keys/overwrites committed files),none required (passed clean in Phase 2),"NOT-RUN (by design: destructive one-time authoring tool, excluded from gates)"
PY-05,python-script,"python3 scripts/backend_api.py [port] [db_path] (default 8765, data/cognitive_os.sqlite3)","As an operator, I want a local HTTP API over traces/memory/packets so the dashboard and tools can query cognitive-OS state.","Starts ThreadingHTTPServer on 127.0.0.1; GET /health,/packets,/traces/,/memory/,/system-state, POST /input,/simulate/scenario; seeds static memory; serves forever.",Inventoried,"Blocking serve_forever, no shutdown flag; invalid port raises ValueError traceback; write endpoints no auth/rate-limit.",PASS,"rc=0; health 200 (server bind+GET /health OK; build_server(db_path,port))",E1 FIX: backend_api /simulate/scenario now returns HTTP 404 {unknown_scenario} for an unknown scenario via an available_scenarios() guard (was a 500/traceback path in the handler thread).,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-06,python-script,library-only (imported by backend_api.py and inline test),"As an operator, I want SQLite migrations and trace/packet/memory persistence so backend_api can durably store and index state.","BackendStore: idempotent migrations, insert/get trace/packet/memory, latest_system_state, deferred-job indexing; seed_static_memory. No main.",Inventoried,Library-only by design.,PASS,rc=0; import-ok backend_storage,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-07,python-script,library-only (imported by bridge_world_demo and inline test),"As an operator, I want design-history text ingested as low-license candidates needing human promotion so bootstrapped claims never gain runtime authority.",ingest_design_history yields hypothesis_only candidates (forbidden runtime_action); promote_candidate raises PermissionError unless human_approved; inspect partitions. No main.,Inventoried,Library-only by design.,PASS,rc=0; import-ok bootstrap_ingest,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-08,python-script,python3 scripts/bridge_world_demo.py [--scenario NAME | free-text command] (default command),"As an operator, I want to run the full v0.1 cognitive loop on a command/scenario so I inspect the governed packet trace end to end.","Runs bus/verifier/planner/action/memory loop, prints each packet (header + JSON payload) + HumanExplanation; enforces license/permission gates (PermissionError on misuse).",Inventoried,Bad --scenario name raises raw FileNotFoundError; very large stdout for storm scenarios; mixed flag/free-text grammar undocumented.,PASS,rc=0; T_001 P_001 SystemStatePacket      priority=P2 lane=active goal relevance source=world_model target=language_codec license=weak_premise attention=4.53,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-09,python-script,python3 scripts/change_provenance.py --selftest,"As an operator, I want to verify a change_set binds literal artifact pre/post content by hash so stale or misstated deltas are rejected.","--selftest runs deterministic checks of verify_change_set_provenance (stale_pre_image, wrong_post_image, diff_digest_mismatch, structured_patch_diverges, verified); exits 0/1. Also a library.",Inventoried,No-arg run prints usage and exits 1 (can look like a failure).,PASS,rc=0; PASS  verified content change_set -> ok + derived delta,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-10,python-script,library-only (imported by bridge_world_demo and inline test),"As an operator, I want a deterministic in-process priority-lane message broker so packets flow with ack/defer/dead-letter and trace replay.","InProcessBroker: subscribe/publish/poll by priority lane, ack/defer/dead_letter, trace_for, event log; ValueError on unknown priority. No main.",Inventoried,Library-only by design.,PASS,rc=0; import-ok cip_bus,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-11,python-script,"python3 scripts/contradiction_audit.py --scenario NAME (contradiction_resolved_by_new_evidence, contradiction_scoped_by_context, contradiction_remains_unresolved)","As an operator, I want to replay a contradiction-repair trace so I audit repair type, scope, and that raw episodes were preserved.","Loads scenario, prints JSON (repair_type, before/after, mutation_order, raw_episodes_preserved, unresolved_visible); usage on missing flag.",Inventoried,ValueError on a non-contradiction scenario; bad scenario name raises raw FileNotFoundError.,PASS,rc=0; { || PROBE-contr-bad: rc=1 Traceback (most recent call last):,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-12,python-script,python3 scripts/dashboard_smoke.py (no args),"As an operator, I want to confirm the dashboard audit-surface React files exist with expected exports so the UI scaffold stays intact.","Checks ui/dashboard for 5 .tsx files each exporting the named function; exits 0 on success, SystemExit with a missing-file message on first failure.",Inventoried,Fails fast on first missing file rather than reporting all gaps.,PASS,rc=0;,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-13,python-script,python3 scripts/decision_audit.py [--scenario NAME | --project [--strict] | free-text command],"As an operator, I want to reconstruct why a route decision was made (or audit the project) so the reasoning chain and blocked alternatives are explicit.","Scenario/command: JSON decision audit (decision, primary_factors, blocked_alternatives, packet_chain); --project delegates to project_self_audit and returns its exit code.",Inventoried,KeyError traceback if trace lacks expected packet types (e.g. design-only scenarios); bad scenario name raises raw FileNotFoundError.,PASS,rc=0; { || PROBE-decision-designscn: rc=1 Traceback (most recent call last):,E1+E2 FIX: clean unknown-scenario message (shared load_scenario) AND a wrong-type scenario now prints 'decision-audit: missing an expected route-decision packet ...' instead of a KeyError traceback.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-14,python-script,python3 scripts/design_audit.py --scenario NAME (~30 design_* scenarios),"As an operator, I want to replay a design-governance trace so I audit whether a design proposal was accepted or blocked and why.","Loads scenario, prints JSON (governance_decision, derived/declared/lexical/trace effect, signature_status, proposal_consolidated, invariant_preserved, revalidation_scheduled).",Inventoried,Non-design scenario raises KeyError on RetrievalResult lookup; bad scenario name raises raw FileNotFoundError.,PASS,rc=0; { || PROBE-design-bad: rc=1 Traceback (most recent call last):,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-15,python-script,python3 scripts/design_signing.py --selftest,"As an operator, I want to verify Ed25519 change signatures and signer-set governance so only authorized, in-scope, unrevoked signers can authorize a change.","--selftest exercises verify_change_signature (verified, unsigned, unauthorized, payload_mismatch, revoked/expired/scope/rotation at tick); exits 0/1. Also a library.",Inventoried,No-arg run prints usage and exits 1; requires cryptography package (ImportError if absent).,PASS,rc=0; PASS  valid signature -> verified,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-16,python-script,python3 scripts/effect_classifier.py (no args; runs self-test),"As an operator, I want to derive a proposal's effect on an invariant from semantic-diff evidence so self-declared effect labels cannot launder a weakening.",Runs 5 deterministic self-tests of derive_effect (weakening/consistent/unknown families) printing PASS/FAIL; exits 0/1. Also a library.,Inventoried,Self-test is the only CLI behaviour on bare invocation; no flag/usage message.,PASS,rc=0; PASS  derived=contradict  family=weakening  expected=weakening  basis=weakening_signal_on_protected_object,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-17,python-script,python3 scripts/epistemic_snapshot.py [--scenario NAME | free-text command] [--strict],"As an operator, I want a live snapshot of current cognition so I can see the system's epistemic state.",Prints JSON snapshot; --strict runs strict_validate raising AssertionError if required sections/licenses/recommendation/pending-work missing.,Inventoried,--strict failure surfaces as AssertionError traceback; bad scenario name raises raw FileNotFoundError.,PASS,rc=0; {,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-18,python-script,library-only (imported by bridge_world_demo and inline test),"As an operator, I want governed episodic/semantic/procedural stores with contradiction indexing so retrieval returns licensed, status-tagged memory not naked facts.","GovernedMemory loads world JSON into AppendOnlyEpisodicLog, SemanticMemoryGraph, ProceduralMemoryStore, ContradictionIndex; retrieve wraps with license/status. No main.",Inventoried,Library-only by design.,PASS,rc=0; import-ok governed_memory,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-19,python-script,"python3 scripts/ingest_experience.py --scenario NAME (experience_ingest_preserves_raw_episode, semantic_candidate_requires_raw_episode, raw_episode_is_append_only, malformed_experience_rejected_without_partial_state)","As an operator, I want to ingest raw experience envelopes into an append-only store so semantic candidates can only cite preserved raw episodes.","Loads scenario, ingests envelopes (rejecting malformed without partial state), prints JSON (episode_count, append_only_replace_blocked, candidate_without_raw_blocked).",Inventoried,Bad scenario name raises raw FileNotFoundError.,PASS,rc=0; { || PROBE-ingest-bad: rc=1 Traceback (most recent call last):,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-20,python-script,library-only (imported by bridge_world_demo and inline test),"As an operator, I want deterministic parsing of a human command into a goal packet so intent maps to engine fields without an LLM.",parse_human_command returns goal/target/urgency/evidence_requirement; assert_no_internal_prose_handoff raises on prose; LLM adapters raise NotImplementedError. No CLI.,Inventoried,Library-only by design.,PASS,rc=0; import-ok language_codec,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-21,python-script,python3 scripts/mechanism_provenance.py [--verify|--build|--selftest],"As an operator, I want to verify enforcement-code content hashes and probe behavior so gate code cannot be weakened unsigned.",--verify exits 0 silently if manifest matches disk else JSON to stderr exit 1; --build writes manifest; --selftest prints PASS/FAIL.,Inventoried,No-arg run prints usage and exits 1 (graceful).,PASS,rc=0;,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-22,python-script,"python3 scripts/mutation_audit.py --scenario NAME (direct_mutation_without_verifier, memory_mutation_with_low_authority_packet, valid_human_promotion_allows_invariant, degraded_action_*)","As an operator, I want to replay a scenario and audit its memory-mutation trace so authority and append-only logging are provable.","Loads scenario, prints JSON audit of mutations (decision, before/after, verifier rule, correction order); exits 0.",Inventoried,Bad/missing scenario name raises uncaught KeyError/ValueError traceback.,PASS,rc=0; { || PROBE-mut-bad: rc=1 Traceback (most recent call last):,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-23,python-script,library-only (imported by test.sh / other scripts),"As an operator, I want a single gateway that applies memory mutations only with valid authority so no unauthorized state change occurs.","apply_memory_mutation validates fields+authority, returns applied/target/log; rejects with reason on failed checks; ValueError on missing memory/fields.",Inventoried,Library-only by design.,PASS,rc=0; import-ok mutation_gateway,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-24,python-script,"python3 scripts/planner_regret_audit.py --scenario NAME (planner_correct_under_uncertainty, planner_near_miss_requires_policy_review, planner_overconservative_waits_unnecessarily)","As an operator, I want to audit planner regret/review traces so near-miss policy updates stay scoped and reviewable.","Prints JSON of regret id/type/class, expected vs actual, review status, scoped policy update, mutation before/after; exits 0.",Inventoried,next() over missing packet types raises StopIteration traceback on unsupported scenarios; bad scenario name crashes.,PASS,rc=0; { || PROBE-planner-bad: rc=1 Traceback (most recent call last):,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-25,python-script,python3 scripts/project_self_audit.py [--strict|--strict-project] [--emit-health|--project],"As an operator, I want the project to audit its own design invariants through the runtime gateway so release health is governed like the bridge world.",Prints full audit JSON; --emit-health consolidates project health via gateway; --strict exits 1 if strict_audit != pass else 0.,Inventoried,none noted (no-arg runs full audit).,PASS,rc=0; {,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-26,python-script,library-only (imported by test.sh / other scripts),"As an operator, I want reusable trace/packet assertions so QA gates can validate envelopes, provenance and mutation logging.","Assertion helpers (validate_packet_envelope, assert_all_actions_traced, ...) raise AssertionError on violations; no CLI.",Inventoried,Library-only by design.,PASS,rc=0; import-ok qa_checks,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-27,python-script,library-only (imported by test.sh / other scripts),"As an operator, I want append-only raw experience storage so evidence is immutable before any semantic interpretation.","RawEpisodeStore: append/get/all, replace raises PermissionError; ingest_experience computes integrity digest; quarantined episodes yield no candidates. No CLI.",Inventoried,Library-only by design.,PASS,rc=0; import-ok raw_episode_store,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-28,python-script,python3 scripts/recovery_replay.py --scenario NAME [--ledger PATH] [--ledger-key-file PATH] [--ledger-private-key-file PATH] [--ledger-public-key-file PATH],"As an operator, I want deterministic idempotent replay of the correction queue so rerunning never duplicates mutations and only signed ledgers suppress them.","Replays scenario through gateway, prints result JSON; persists/signs ledger when --ledger given; unsigned/forged ledgers downgrade to audit-only; exits 0.",Inventoried,Bad/missing scenario raises traceback; --ledger without path raises SystemExit message.,PASS,rc=0; {,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-29,python-script,library-only (imported by recovery_replay / inline test),"As an operator, I want Ed25519 sign/verify for recovery ledgers so public verification can never mint a suppressing replay identity.","generate key, sign_ledger_asymmetric, verify_asymmetric_signature returns verdict (asymmetric_signed_valid/unsigned/no_public_key/wrong_public_key/signature_invalid). No CLI.",Inventoried,Library-only by design (requires cryptography).,PASS,rc=0; import-ok replay_asymmetric_key,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-30,python-script,library-only (imported by recovery_replay / inline test),"As an operator, I want HMAC-SHA256 ledger signing so only an authorized runtime can suppress a mutation on replay.",load_replay_key resolves key from file/env/none; sign_ledger/verify_signature return verdict; rejects keys <16 bytes. No CLI.,Inventoried,Library-only by design.,PASS,rc=0; import-ok replay_key,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-31,python-script,library-only (imported by test.sh / other scripts),"As an operator, I want status-aware epistemic licenses on retrieved memory so degraded knowledge cannot authorize unsafe action.",Pure functions mapping status+confidence+contradictions to license/permissions/emergency-use/revalidation; wrap_retrieval_item builds the envelope. No CLI.,Inventoried,Library-only by design.,PASS,rc=0; import-ok retrieval_policy,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-32,python-script,library-only (imported by test.sh / other scripts),"As an operator, I want rule-change impact tracing so downstream memories/procedures/plans get the right revalidation action.","next_rule_version (versioned supersede), trace_dependencies, impact_score, lazy_evaluation_action, evaluate_rule_change returning effects. No CLI.",Inventoried,Library-only by design.,PASS,rc=0; import-ok rule_cascade,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-33,python-script,"python3 scripts/semantic_candidate_extractor.py --scenario NAME (raw_episode_generates_semantic_candidates, candidate_defaults_to_hypothesis_only, candidate_cites_raw_episode, llm_output_cannot_create_authoritative_memory, candidate_extraction_failure_preserves_raw_episode)","As an operator, I want to extract hypothesis-only candidates from raw episodes so interpretation stays downstream of immutable evidence.","Prints JSON of candidates (all hypothesis_only citing raw digest), rejected proposals, invariant flags; exits 0; LLM authority injections rejected.",Inventoried,Bad/missing scenario file raises FileNotFoundError traceback.,PASS,rc=0; { || PROBE-sce-bad: rc=1 Traceback (most recent call last):,E1 FIX: unknown --scenario now prints a clean 'unknown scenario' message listing available scenarios (was a raw FileNotFoundError traceback). Central fix in bridge_world_demo.load_scenario + private _load_scenario in ingest_experience/semantic_candidate_extractor.,PASS — fix verified: clean error on bad input; valid-scenario output unchanged; cargo test + release_check green
PY-34,python-script,library-only (imported by test.sh / other scripts),"As an operator, I want sandboxed toy-action execution with outcome recording so actions produce traceable episodes.","execute_action validates against ALLOWED_ACTIONS (ValueError otherwise), returns outcome via predict_action; record_action_outcome builds episode/candidate/trace-link. No CLI.",Inventoried,Library-only by design.,PASS,rc=0; import-ok toy_action_engine,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-35,python-script,library-only (imported by test.sh / other scripts),"As an operator, I want a bridge-world planner with normal and minimax modes so route choice respects licenses, risk and evidence requirements.","build_plan returns plan (mode, route, action, fallback, risk_note, assumptions); strict evidence + degraded license forces evidence_strict_refusal. No CLI.",Inventoried,Library-only by design.,PASS,rc=0; import-ok toy_planner,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-36,python-script,python3 scripts/trace_diff.py (args ignored; runs fixed self-test),"As an operator, I want protected invariants verified by behavioral probes so a reworded weakening is still caught by trace regression.","main() ignores argv, runs probe baselines + self-tests, prints PASS/FAIL; exits non-zero on any failure.",Inventoried,Accepts no flags yet has a runnable __main__; passing args silently does nothing different.,PASS,rc=0; PASS  probe=hazard_gate        baseline=reject_episode         protected=reject_episode,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-37,python-script,library-only (imported by test.sh / other scripts),"As an operator, I want adjudication and verifier licensing helpers so contradictions and confidence drive epistemic licenses consistently.","adjudicate + helpers compute confidence, epistemic_license, contradictions, caveats from world/memory; reads verifier_rules.json. No CLI.",Inventoried,Library-only by design (mechanism-source hash-bound).,PASS,rc=0; import-ok verifier_engine,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
PY-38,python-script,library-only (imported by test.sh / other scripts),"As an operator, I want a structured toy-world encoder and action predictor so planning has deterministic risk/cost estimates.",encode_world_state normalizes raw state; predict_action returns risk/cost_minutes/likely_outcome from weather/damage/status. No CLI.,Inventoried,Library-only by design.,PASS,rc=0; import-ok world_encoder,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
SH-01,shell-script,./scripts/release_check.sh,"As an operator, I want one command that verifies every milestone lock so I know the whole stack is intact.",Runs lint + test + dashboard_smoke + operator_smoke + hundreds of source-grep invariant assertions + file checks; exits 0 and silent if all intact.,Inventoried,,PASS,rc=0; release_check.sh ran green at baseline (lint+test+dashboard_smoke+operator_smoke+invariant greps),none required (passed clean in Phase 2),PASS — re-confirmed green in post-fix release_check.sh run
SH-02,shell-script,./scripts/test.sh,"As an operator, I want the full Python+integration test suite so I confirm behaviour across all scenarios.","Runs every python scenario script, asserts on outputs via grep, runs the inline integration test; exits 0 on pass.",Inventoried,,PASS,"rc=0; executed inside release_check.sh baseline (full python+integration suite, all asserts pass)",none required (passed clean in Phase 2),PASS — re-confirmed green in post-fix release_check.sh run
SH-03,shell-script,./scripts/lint.sh,"As an operator, I want a fast static check so I catch syntax/JSON errors early.","py_compile all scripts+tests, json.tool-validate all schemas/simulations JSON + VERSION.json; exits 0 if clean.",Inventoried,,PASS,rc=0; executed inside release_check.sh baseline (py_compile + JSON validation clean),none required (passed clean in Phase 2),PASS — re-confirmed green in post-fix release_check.sh run
SH-04,shell-script,./scripts/operator_smoke.sh,"As an operator, I want an end-to-end smoke of the documented operator path so I catch manual drift.","Runs the documented cognitive-demo path in a temp dir, re-derives artifacts via the binary's own verify, asserts tampers refused + boundary lines verbatim; exits 0; prints OK line.",Inventoried,,PASS,rc=0; executed inside release_check.sh baseline (operator path smoke + manual-drift guard OK),none required (passed clean in Phase 2),PASS — re-confirmed green in post-fix release_check.sh run
SH-05,shell-script,./scripts/dev.sh,"As a developer, I want a quick single-scenario demo run so I can eyeball the loop.",Runs bridge_world_demo.py with a fixed 'Use Bridge A if still fastest' command; prints the trace.,Inventoried,,PASS,rc=0; T_001 P_001 SystemStatePacket      priority=P2 lane=active goal relevance source=world_model target=language_codec license=weak_premise attention=4.53,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
SH-06,shell-script,./scripts/seed_demo.sh,"As a developer, I want to seed demo data so the demo has inputs.",Prints that demo seed data already lives in simulations/bridge_world (no-op informational).,Inventoried,,PASS,rc=0; Demo seed data already lives in simulations/bridge_world.,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
UI-01,dashboard,ui/dashboard/packet_stream.tsx (exports PacketStream; validated by dashboard_smoke.py),"As an operator, I want a PacketStream dashboard audit-surface component so I can visually inspect the corresponding cognitive state.",React/TSX component exporting function PacketStream(); renders the audit surface. No build harness wired; existence+export checked by dashboard_smoke.py.,Inventoried,Static .tsx scaffold; no bundler/runtime wired in repo.,PASS,validated by dashboard_smoke.py (PY-12 rc=0): file exists and exports PacketStream,none required (passed clean in Phase 2),PASS — re-confirmed by dashboard_smoke.py (green) in post-fix run
UI-02,dashboard,ui/dashboard/trace_view.tsx (exports TraceView; validated by dashboard_smoke.py),"As an operator, I want a TraceView dashboard audit-surface component so I can visually inspect the corresponding cognitive state.",React/TSX component exporting function TraceView(); renders the audit surface. No build harness wired; existence+export checked by dashboard_smoke.py.,Inventoried,Static .tsx scaffold; no bundler/runtime wired in repo.,PASS,validated by dashboard_smoke.py (PY-12 rc=0): file exists and exports TraceView,none required (passed clean in Phase 2),PASS — re-confirmed by dashboard_smoke.py (green) in post-fix run
UI-03,dashboard,ui/dashboard/attention_view.tsx (exports AttentionView; validated by dashboard_smoke.py),"As an operator, I want a AttentionView dashboard audit-surface component so I can visually inspect the corresponding cognitive state.",React/TSX component exporting function AttentionView(); renders the audit surface. No build harness wired; existence+export checked by dashboard_smoke.py.,Inventoried,Static .tsx scaffold; no bundler/runtime wired in repo.,PASS,validated by dashboard_smoke.py (PY-12 rc=0): file exists and exports AttentionView,none required (passed clean in Phase 2),PASS — re-confirmed by dashboard_smoke.py (green) in post-fix run
UI-04,dashboard,ui/dashboard/memory_graph.tsx (exports MemoryGraph; validated by dashboard_smoke.py),"As an operator, I want a MemoryGraph dashboard audit-surface component so I can visually inspect the corresponding cognitive state.",React/TSX component exporting function MemoryGraph(); renders the audit surface. No build harness wired; existence+export checked by dashboard_smoke.py.,Inventoried,Static .tsx scaffold; no bundler/runtime wired in repo.,PASS,validated by dashboard_smoke.py (PY-12 rc=0): file exists and exports MemoryGraph,none required (passed clean in Phase 2),PASS — re-confirmed by dashboard_smoke.py (green) in post-fix run
UI-05,dashboard,ui/dashboard/verifier_view.tsx (exports VerifierView; validated by dashboard_smoke.py),"As an operator, I want a VerifierView dashboard audit-surface component so I can visually inspect the corresponding cognitive state.",React/TSX component exporting function VerifierView(); renders the audit surface. No build harness wired; existence+export checked by dashboard_smoke.py.,Inventoried,Static .tsx scaffold; no bundler/runtime wired in repo.,PASS,validated by dashboard_smoke.py (PY-12 rc=0): file exists and exports VerifierView,none required (passed clean in Phase 2),PASS — re-confirmed by dashboard_smoke.py (green) in post-fix run
